citizen_id,archetype,age_group,age_mid,walking_speed_kmh,heat_tolerance,rain_tolerance,crowd_tolerance,green_preference,transit_preference
C00345,Family / parent,25-34,29,5.58,0.105,0.8,0.598,0.859,0.073
C00346,Student,18-24,21,6.91,0.179,0.565,0.167,0.856,0.153
C00347,Transit-dependent citizen,18-24,21,6.98,0.725,0.866,0.447,0.647,0.947
C00348,Family / parent,25-34,29,5.47,0.698,0.116,0.156,0.951,0.002
C00349,Elderly citizen,60+,66,4.28,0.646,0.766,0.633,0.996,0.562
C00350,Outdoor worker,18-24,21,6.94,0.894,0.842,0.585,0.381,0.072
C00351,Outdoor worker,35-44,39,6.23,0.851,0.087,0.64,0.782,0.01
C00352,Student,18-24,21,5.86,0.574,0.907,0.371,0.277,0.015
C00353,Family / parent,25-34,29,5.14,0.59,0.877,0.292,0.922,0.036
C00354,Student,18-24,21,5.49,0.236,0.403,0.456,0.486,0.01
C00355,Transit-dependent citizen,Under 18,16,6.14,0.157,0.699,0.817,0.143,0.629
C00356,Transit-dependent citizen,18-24,21,5.01,0.539,0.01,0.598,0.804,0.794
C00357,Student,Under 18,16,5.03,0.68,0.077,0.416,0.983,0.481
C00358,Student,18-24,21,5.43,0.169,0.065,0.466,0.875,0.119
C00359,Outdoor worker,18-24,21,5.44,0.748,0.501,0.364,0.888,0.002
C00360,Mobility-limited citizen,45-59,52,3.26,0.85,0.073,0.856,0.683,0.023
C00361,Student,18-24,21,7.2,0.174,0.151,0.548,0.88,0.017
C00362,Elderly citizen,60+,66,3.6,0.517,0.807,0.291,0.988,0.578
C00363,Family / parent,45-59,52,4.49,0.141,0.96,0.246,0.944,0.105
C00364,Elderly citizen,60+,66,3.06,0.424,0.985,0.167,0.904,0.4
C00365,Student,18-24,21,4.7,0.03,0.97,0.248,0.896,0.013
C00366,Outdoor worker,Under 18,16,5.82,0.803,0.798,0.453,0.973,0.041
C00367,Transit-dependent citizen,18-24,21,6.24,0.097,0.809,0.598,0.902,0.769
C00368,Transit-dependent citizen,18-24,21,3.88,0.603,0.033,0.712,0.939,0.916
C00369,Outdoor worker,18-24,21,6.53,0.743,0.782,0.282,0.994,0.174
C00370,Outdoor worker,18-24,21,5.45,0.76,0.69,0.355,0.929,0.027
C00371,Outdoor worker,45-59,52,4.77,0.98,0.876,0.305,0.936,0.001
C00372,Student,18-24,21,4.32,0.227,0.984,0.373,0.875,0.473
C00373,Student,18-24,21,6.4,0.373,0.968,0.372,0.96,0.005
C00374,General pedestrian,25-34,29,4.74,0.138,0.121,0.101,0.85,0.001
C00375,Student,18-24,21,6.17,0.651,0.657,0.175,0.975,0.029
C00376,Outdoor worker,18-24,21,4.16,0.84,0.122,0.726,0.786,0.014
C00377,Student,Under 18,16,5.03,0.282,0.209,0.529,0.952,0.015
C00378,Outdoor worker,25-34,29,6.06,0.982,0.996,0.268,0.901,0.136
C00379,Student,Under 18,16,6.81,0.343,0.893,0.457,0.717,0.206
C00380,General pedestrian,35-44,39,5.05,0.574,0.954,0.373,0.77,0.023
C00381,Student,Under 18,16,5.9,0.36,0.784,0.319,0.797,0.232
C00382,Student,18-24,21,4.78,0.124,0.08,0.355,0.94,0.504
C00383,Elderly citizen,60+,66,6.95,0.771,0.917,0.294,0.841,0.09
C00384,Student,18-24,21,5.28,0.584,0.436,0.578,0.51,0.008
C00385,Family / parent,45-59,52,4.32,0.377,0.949,0.274,0.947,0.209
C00386,Student,18-24,21,6.71,0.1,0.999,0.095,0.76,0.0
C00387,Student,18-24,21,6.01,0.399,0.673,0.501,0.909,0.047
C00388,Transit-dependent citizen,45-59,52,4.69,0.809,0.795,0.481,0.916,0.837
C00389,Outdoor worker,18-24,21,6.48,0.789,0.699,0.703,0.8,0.265
C00390,Outdoor worker,Under 18,16,3.89,0.79,0.076,0.355,0.953,0.007
C00391,Transit-dependent citizen,18-24,21,5.26,0.826,0.281,0.834,0.782,0.948
C00392,Transit-dependent citizen,Under 18,16,6.61,0.566,0.968,0.698,0.852,0.667
C00393,Mobility-limited citizen,Under 18,16,3.41,0.929,0.974,0.247,0.795,0.008
C00394,Mobility-limited citizen,45-59,52,3.39,0.011,0.922,0.045,0.994,0.143
C00395,Outdoor worker,18-24,21,3.95,0.775,0.282,0.686,0.823,0.119
C00396,Outdoor worker,45-59,52,5.01,0.954,0.981,0.667,0.861,0.011
C00397,Student,18-24,21,5.19,0.512,0.71,0.498,0.816,0.06
C00398,Student,Under 18,16,5.67,0.443,0.193,0.354,0.872,0.07
C00399,Student,Under 18,16,4.54,0.159,0.788,0.571,0.625,0.252
C00400,Student,18-24,21,5.09,0.057,0.206,0.445,0.938,0.155
C00401,Transit-dependent citizen,Under 18,16,5.49,0.632,0.918,0.373,0.91,0.776
C00402,Student,18-24,21,6.26,0.682,0.937,0.652,0.837,0.254
C00403,Student,Under 18,16,5.13,0.398,0.485,0.144,0.655,0.183
C00404,Elderly citizen,60+,66,5.85,0.132,0.811,0.639,0.258,0.253
C00405,Family / parent,35-44,39,4.85,0.241,0.13,0.479,0.92,0.014
C00406,Mobility-limited citizen,Under 18,16,3.57,0.679,0.934,0.192,0.92,0.01
C00407,Outdoor worker,18-24,21,4.53,0.968,0.281,0.675,0.81,0.373
C00408,Elderly citizen,60+,66,5.8,0.595,0.563,0.805,0.9,0.113
C00409,Family / parent,45-59,52,6.63,0.433,0.99,0.199,0.958,0.01
C00410,Outdoor worker,18-24,21,7.2,0.98,0.247,0.552,0.891,0.036
C00411,General pedestrian,45-59,52,6.01,0.608,0.418,0.749,0.583,0.115
C00412,Student,Under 18,16,4.28,0.081,0.922,0.243,0.898,0.316
C00413,Family / parent,25-34,29,5.82,0.141,0.905,0.301,0.947,0.003
C00414,Student,Under 18,16,4.68,0.542,0.275,0.552,0.828,0.029
C00415,Student,18-24,21,5.16,0.652,0.107,0.395,0.751,0.058
C00416,Elderly citizen,60+,66,4.44,0.818,0.207,0.623,0.586,0.047
C00417,Transit-dependent citizen,35-44,39,5.76,0.374,0.981,0.62,0.594,0.97
C00418,Student,18-24,21,4.88,0.278,0.008,0.161,0.971,0.029
C00419,Family / parent,35-44,39,6.24,0.302,0.998,0.545,0.944,0.009
C00420,Transit-dependent citizen,18-24,21,4.56,0.427,0.059,0.114,0.983,0.773
C00421,Outdoor worker,18-24,21,6.76,0.874,0.556,0.486,0.795,0.041
C00422,Outdoor worker,18-24,21,7.2,0.858,0.989,0.484,0.581,0.006
C00423,Family / parent,25-34,29,6.1,0.282,0.997,0.12,0.906,0.107
C00424,General pedestrian,35-44,39,5.74,0.469,0.833,0.688,0.513,0.354
C00425,Elderly citizen,60+,66,5.24,0.235,0.141,0.668,0.589,0.063
C00426,Student,18-24,21,4.11,0.525,0.349,0.436,0.965,0.044
C00427,Student,Under 18,16,5.85,0.41,0.199,0.516,0.934,0.017
C00428,Transit-dependent citizen,45-59,52,4.1,0.905,0.464,0.734,0.236,0.63
C00429,Outdoor worker,18-24,21,4.61,0.951,0.27,0.724,0.97,0.275
C00430,General pedestrian,35-44,39,5.25,0.044,0.216,0.327,0.249,0.009
C00431,Outdoor worker,18-24,21,5.46,0.909,0.176,0.831,0.344,0.133
C00432,Student,18-24,21,5.61,0.406,0.644,0.605,0.412,0.585
C00433,Student,18-24,21,6.89,0.169,0.871,0.19,0.689,0.572
C00434,Transit-dependent citizen,25-34,29,7.2,0.818,0.98,0.527,0.909,0.646
C00435,Student,Under 18,16,4.33,0.22,0.392,0.275,0.624,0.354
C00436,Student,18-24,21,4.99,0.635,0.743,0.642,0.828,0.02
C00437,Family / parent,45-59,52,4.11,0.273,0.65,0.355,0.962,0.104
C00438,Student,18-24,21,5.54,0.593,0.834,0.198,0.927,0.006
C00439,Outdoor worker,35-44,39,3.94,0.738,0.996,0.193,0.852,0.033
C00440,Mobility-limited citizen,18-24,21,2.93,0.165,0.876,0.294,0.488,0.668
C00441,Elderly citizen,60+,66,4.87,0.936,0.308,0.838,0.411,0.069
C00442,Transit-dependent citizen,45-59,52,5.26,0.948,0.921,0.652,0.546,0.908
C00443,Transit-dependent citizen,Under 18,16,5.17,0.886,0.638,0.454,0.679,0.848
C00444,Mobility-limited citizen,25-34,29,2.82,0.424,0.243,0.426,0.916,0.222
C00445,Outdoor worker,18-24,21,7.2,0.879,0.51,0.58,0.835,0.462
C00446,Outdoor worker,18-24,21,5.77,0.722,0.988,0.075,0.646,0.122
C00447,Student,18-24,21,5.96,0.168,0.134,0.537,0.907,0.199
C00448,Student,18-24,21,7.04,0.186,0.983,0.546,0.894,0.186
C00449,Outdoor worker,18-24,21,6.3,0.92,0.466,0.496,0.85,0.062
C00450,Transit-dependent citizen,18-24,21,7.11,0.87,0.798,0.68,0.489,0.985
C00451,Outdoor worker,25-34,29,7.12,0.762,0.997,0.254,0.829,0.297
C00452,General pedestrian,45-59,52,4.25,0.241,0.947,0.507,0.806,0.522
C00453,Outdoor worker,45-59,52,5.74,0.743,0.128,0.855,0.234,0.002
C00454,Student,18-24,21,5.15,0.479,0.982,0.596,0.397,0.471
C00455,Elderly citizen,60+,66,4.51,0.37,0.618,0.467,0.206,0.141
C00456,Student,Under 18,16,4.38,0.036,0.946,0.208,0.926,0.051
C00457,Outdoor worker,18-24,21,7.2,0.852,0.984,0.346,0.551,0.161
C00458,General pedestrian,45-59,52,5.92,0.091,0.435,0.5,0.809,0.092
C00459,Elderly citizen,60+,66,5.12,0.741,0.755,0.681,0.799,0.233
C00460,Student,18-24,21,5.46,0.153,0.998,0.369,0.941,0.594
C00461,Student,Under 18,16,5.21,0.445,0.972,0.425,0.733,0.337
C00462,Outdoor worker,25-34,29,6.32,0.894,0.969,0.413,0.205,0.261
C00463,Outdoor worker,25-34,29,7.2,0.907,0.27,0.733,0.558,0.002
C00464,Outdoor worker,45-59,52,4.99,0.729,0.356,0.617,0.973,0.068
C00465,Student,Under 18,16,5.23,0.669,0.208,0.608,0.246,0.099
C00466,Student,18-24,21,7.2,0.363,0.186,0.592,0.919,0.001
C00467,Elderly citizen,60+,66,3.78,0.568,0.231,0.221,0.951,0.013
C00468,General pedestrian,45-59,52,6.51,0.689,0.941,0.42,0.593,0.246
C00469,Student,18-24,21,5.44,0.008,0.164,0.186,0.98,0.004
C00470,Family / parent,25-34,29,6.33,0.334,0.373,0.392,0.956,0.056
C00471,Transit-dependent citizen,Under 18,16,6.51,0.687,0.313,0.801,0.404,0.979
C00472,Family / parent,35-44,39,5.32,0.503,0.994,0.325,0.983,0.321
C00473,Family / parent,25-34,29,5.07,0.452,0.995,0.349,0.866,0.083
C00474,Student,18-24,21,7.2,0.129,0.145,0.443,0.539,0.054
C00475,Student,18-24,21,6.33,0.616,0.099,0.731,0.674,0.022
C00476,Student,18-24,21,4.94,0.428,0.161,0.438,0.784,0.061
C00477,Transit-dependent citizen,18-24,21,4.18,0.784,0.673,0.403,0.552,0.903
C00478,Family / parent,45-59,52,6.53,0.154,0.485,0.226,0.942,0.436
C00479,Transit-dependent citizen,Under 18,16,5.29,0.193,0.983,0.281,0.833,0.906
C00480,Transit-dependent citizen,45-59,52,5.17,0.864,0.064,0.567,0.841,0.619
C00481,Student,18-24,21,5.48,0.494,0.745,0.337,0.869,0.045
C00482,Student,18-24,21,7.2,0.347,0.95,0.253,0.447,0.061
C00483,General pedestrian,35-44,39,3.87,0.361,1.0,0.704,0.34,0.503
C00484,Outdoor worker,18-24,21,5.42,0.77,0.022,0.841,0.49,0.193
C00485,Student,Under 18,16,6.16,0.585,0.567,0.415,0.98,0.007
C00486,Elderly citizen,60+,66,6.95,0.795,0.901,0.512,0.886,0.008
C00487,Elderly citizen,60+,66,4.62,0.384,0.972,0.458,0.749,0.094
C00488,General pedestrian,45-59,52,5.87,0.585,0.28,0.768,0.679,0.025
C00489,Outdoor worker,35-44,39,6.01,0.984,0.244,0.804,0.596,0.164
C00490,Outdoor worker,18-24,21,6.93,0.93,0.568,0.743,0.834,0.053
C00491,Elderly citizen,60+,66,4.99,0.725,0.069,0.549,0.959,0.038
C00492,General pedestrian,25-34,29,7.2,0.357,0.989,0.496,0.713,0.005
C00493,Student,18-24,21,5.92,0.15,0.405,0.714,0.609,0.039
C00494,Outdoor worker,Under 18,16,4.37,0.917,0.407,0.369,0.964,0.15
C00495,Outdoor worker,18-24,21,7.2,0.91,0.67,0.403,0.907,0.07
C00496,Elderly citizen,60+,66,6.89,0.439,0.186,0.362,0.487,0.299
C00497,Student,18-24,21,7.2,0.343,0.896,0.746,0.937,0.007
C00498,Transit-dependent citizen,Under 18,16,5.24,0.548,0.982,0.293,0.803,0.697
C00499,Transit-dependent citizen,18-24,21,6.01,0.121,0.997,0.259,0.876,0.678
C00500,Outdoor worker,45-59,52,5.17,0.722,0.953,0.498,0.996,0.016
C00501,Student,18-24,21,5.01,0.442,0.473,0.683,0.44,0.178
C00502,Student,Under 18,16,4.73,0.691,0.983,0.312,0.934,0.179
C00503,Student,18-24,21,7.2,0.419,0.235,0.532,0.497,0.039
C00504,Student,Under 18,16,6.14,0.439,0.984,0.18,0.835,0.395
C00505,Elderly citizen,60+,66,6.63,0.967,0.997,0.576,0.305,0.939
C00506,Student,18-24,21,5.33,0.447,0.168,0.413,0.842,0.001
C00507,Student,Under 18,16,6.26,0.338,0.489,0.485,0.823,0.025
C00508,Outdoor worker,18-24,21,7.2,0.83,0.937,0.388,0.716,0.015
C00509,Student,Under 18,16,5.04,0.633,0.874,0.533,0.872,0.506
C00510,Mobility-limited citizen,Under 18,16,3.12,0.123,0.122,0.491,0.965,0.909
C00511,Transit-dependent citizen,18-24,21,3.98,0.924,0.747,0.473,0.959,0.984
C00512,Outdoor worker,35-44,39,5.85,0.895,0.328,0.641,0.658,0.144
C00513,Student,18-24,21,4.55,0.173,0.043,0.554,0.858,0.102
C00514,Student,18-24,21,4.58,0.563,0.945,0.295,0.923,0.037
C00515,Elderly citizen,60+,66,6.33,0.991,0.053,0.892,0.329,0.002
C00516,Transit-dependent citizen,18-24,21,6.81,0.928,0.999,0.121,0.98,0.88
C00517,Transit-dependent citizen,18-24,21,4.25,0.083,0.486,0.144,0.987,0.62
C00518,Outdoor worker,18-24,21,5.75,0.872,0.897,0.306,0.828,0.011
C00519,General pedestrian,35-44,39,3.8,0.07,0.168,0.232,0.772,0.033
C00520,Elderly citizen,60+,66,5.54,0.502,0.77,0.529,0.9,0.051
C00521,Student,18-24,21,6.17,0.127,0.014,0.408,0.764,0.012
C00522,Student,18-24,21,6.87,0.464,0.334,0.296,0.853,0.035
C00523,Mobility-limited citizen,45-59,52,3.14,0.45,0.05,0.608,0.759,0.903
C00524,Student,Under 18,16,5.8,0.659,0.993,0.19,0.915,0.149
C00525,Student,18-24,21,5.15,0.54,0.158,0.378,0.735,0.055
C00526,Student,Under 18,16,6.48,0.179,0.52,0.356,0.712,0.268
C00527,Elderly citizen,60+,66,3.59,0.852,0.118,0.43,0.779,0.56
C00528,Student,18-24,21,5.63,0.393,0.922,0.271,0.629,0.179
C00529,Transit-dependent citizen,18-24,21,5.24,0.504,0.388,0.666,0.794,0.924
C00530,Elderly citizen,60+,66,5.53,0.939,0.576,0.695,0.617,0.046
C00531,Student,18-24,21,5.09,0.61,0.975,0.109,0.969,0.546
C00532,Outdoor worker,18-24,21,4.97,0.732,0.153,0.429,0.734,0.173
C00533,Outdoor worker,Under 18,16,7.12,0.961,0.916,0.837,0.287,0.327
C00534,Transit-dependent citizen,18-24,21,3.92,0.82,0.927,0.143,0.639,0.899
C00535,Transit-dependent citizen,25-34,29,5.57,0.844,0.843,0.564,0.73,0.743
C00536,Outdoor worker,18-24,21,4.52,0.884,0.036,0.527,0.869,0.037
C00537,Transit-dependent citizen,25-34,29,6.66,0.715,0.131,0.733,0.704,0.692
C00538,Student,18-24,21,6.32,0.207,0.959,0.354,0.384,0.414
C00539,Student,Under 18,16,7.14,0.61,0.874,0.716,0.7,0.014
C00540,Outdoor worker,18-24,21,7.09,0.851,0.471,0.771,0.727,0.427
C00541,Family / parent,35-44,39,3.83,0.16,0.94,0.204,0.974,0.349
C00542,Mobility-limited citizen,45-59,52,3.36,0.11,0.685,0.127,0.92,0.016
C00543,Transit-dependent citizen,Under 18,16,4.11,0.836,0.582,0.532,0.952,0.727
C00544,Student,18-24,21,5.24,0.073,0.505,0.32,0.828,0.012
C00545,Outdoor worker,25-34,29,7.2,0.805,0.843,0.411,0.552,0.052
C00546,Student,18-24,21,3.98,0.085,0.054,0.32,0.929,0.048
C00547,General pedestrian,45-59,52,4.43,0.522,0.367,0.49,0.619,0.001
C00548,Family / parent,25-34,29,5.87,0.048,0.319,0.436,0.942,0.014
C00549,Student,18-24,21,5.75,0.399,0.04,0.755,0.526,0.218
C00550,General pedestrian,45-59,52,6.63,0.488,0.066,0.745,0.834,0.033
C00551,General pedestrian,35-44,39,6.25,0.458,0.941,0.229,0.689,0.594
C00552,Student,18-24,21,6.28,0.291,0.982,0.239,0.868,0.1
C00553,Student,18-24,21,5.89,0.409,0.322,0.404,0.926,0.0
C00554,Transit-dependent citizen,Under 18,16,4.98,0.449,0.578,0.438,0.854,0.629
C00555,Student,18-24,21,5.29,0.613,0.528,0.672,0.853,0.532
C00556,Student,18-24,21,7.11,0.359,0.98,0.325,0.855,0.064
C00557,Outdoor worker,18-24,21,7.12,0.866,0.89,0.371,0.662,0.002
C00558,Outdoor worker,18-24,21,7.2,0.836,0.868,0.56,0.216,0.022
C00559,Elderly citizen,60+,66,5.72,0.951,0.959,0.426,0.984,0.356
C00560,Family / parent,25-34,29,4.98,0.317,0.279,0.269,0.963,0.08
C00561,Outdoor worker,Under 18,16,6.35,0.721,0.056,0.673,0.841,0.158
C00562,Student,18-24,21,4.72,0.465,0.715,0.155,0.546,0.039
C00563,Outdoor worker,35-44,39,4.57,0.796,0.758,0.397,0.949,0.347
C00564,Student,Under 18,16,5.32,0.43,0.701,0.253,0.974,0.262
C00565,Outdoor worker,18-24,21,6.02,0.799,0.283,0.452,0.932,0.511
C00566,Outdoor worker,25-34,29,7.2,0.738,0.704,0.428,0.964,0.261
C00567,Transit-dependent citizen,35-44,39,6.09,0.062,0.886,0.114,0.948,0.961
C00568,General pedestrian,25-34,29,6.44,0.114,0.97,0.256,0.673,0.567
C00569,Elderly citizen,60+,66,5.21,0.5,0.502,0.421,0.872,0.553
C00570,Student,18-24,21,6.57,0.456,0.022,0.388,0.704,0.019
C00571,Mobility-limited citizen,45-59,52,3.09,0.376,0.992,0.636,0.819,0.085
C00572,Student,18-24,21,4.68,0.206,0.261,0.179,0.839,0.296
C00573,Outdoor worker,18-24,21,6.19,0.902,0.993,0.709,0.967,0.02
C00574,Outdoor worker,Under 18,16,6.38,0.766,0.141,0.713,0.696,0.009
C00575,Mobility-limited citizen,18-24,21,2.5,0.056,0.015,0.408,0.862,0.257
C00576,Family / parent,25-34,29,6.33,0.493,0.978,0.416,0.893,0.516
C00577,Student,Under 18,16,5.2,0.314,0.768,0.192,0.894,0.396
C00578,Outdoor worker,Under 18,16,4.68,0.798,0.583,0.423,0.764,0.049
C00579,Student,18-24,21,4.58,0.52,0.01,0.56,0.603,0.108
C00580,Student,18-24,21,4.02,0.152,0.922,0.09,0.985,0.015
C00581,Transit-dependent citizen,Under 18,16,4.36,0.561,0.917,0.514,0.911,0.869
C00582,General pedestrian,25-34,29,5.82,0.046,0.99,0.173,0.848,0.008
C00583,Student,18-24,21,5.43,0.458,0.145,0.35,0.934,0.085
C00584,Student,18-24,21,6.12,0.518,0.781,0.257,0.902,0.015
C00585,Student,18-24,21,6.01,0.061,0.092,0.547,0.554,0.006
C00586,Transit-dependent citizen,18-24,21,6.39,0.553,0.996,0.598,0.689,0.82
C00587,Elderly citizen,60+,66,4.78,0.805,0.693,0.24,0.988,0.003
C00588,Student,18-24,21,6.67,0.551,0.92,0.296,0.954,0.021
C00589,Elderly citizen,60+,66,5.85,0.072,0.027,0.276,0.923,0.247
C00590,Student,Under 18,16,4.94,0.136,0.2,0.417,0.778,0.211
C00591,Family / parent,45-59,52,5.97,0.702,0.94,0.798,0.886,0.356
C00592,Family / parent,25-34,29,6.55,0.383,0.749,0.32,0.856,0.245
C00593,Student,Under 18,16,4.68,0.164,0.688,0.486,0.905,0.187
C00594,Outdoor worker,18-24,21,5.0,0.879,0.988,0.503,0.602,0.218
C00595,Student,18-24,21,4.91,0.687,0.952,0.163,0.983,0.018
C00596,Student,18-24,21,4.82,0.54,0.339,0.371,0.855,0.047
C00597,Student,18-24,21,6.11,0.276,0.335,0.26,0.923,0.115
C00598,Elderly citizen,60+,66,6.95,0.93,0.998,0.647,0.423,0.531
C00599,Outdoor worker,Under 18,16,6.41,0.772,0.128,0.159,0.725,0.016
C00600,Student,Under 18,16,4.81,0.506,0.771,0.233,0.931,0.049
C00601,Student,18-24,21,6.35,0.484,0.925,0.632,0.864,0.007
C00602,General pedestrian,45-59,52,5.36,0.199,0.956,0.343,0.681,0.074
C00603,Student,Under 18,16,7.11,0.415,0.974,0.309,0.992,0.268
C00604,Student,18-24,21,6.18,0.621,0.995,0.567,0.663,0.336
C00605,Student,18-24,21,7.2,0.558,0.013,0.63,0.313,0.039
C00606,Student,Under 18,16,5.26,0.354,0.862,0.452,0.525,0.085
C00607,Student,18-24,21,5.41,0.543,0.687,0.301,0.583,0.016
C00608,Student,18-24,21,5.72,0.164,0.213,0.671,0.128,0.067
C00609,Student,18-24,21,4.45,0.146,0.671,0.124,0.915,0.09
C00610,Outdoor worker,18-24,21,4.96,0.756,0.979,0.49,0.285,0.032
C00611,Transit-dependent citizen,45-59,52,4.66,0.77,0.902,0.725,0.102,0.616
C00612,Student,18-24,21,3.87,0.277,0.088,0.092,0.965,0.012
C00613,Student,Under 18,16,5.38,0.326,0.025,0.694,0.806,0.044
C00614,General pedestrian,35-44,39,3.79,0.563,0.991,0.15,0.821,0.001
C00615,Student,Under 18,16,6.6,0.151,0.678,0.176,0.943,0.59
C00616,Student,Under 18,16,4.9,0.703,0.719,0.296,0.95,0.006
C00617,Student,18-24,21,6.2,0.707,0.97,0.535,0.966,0.132
C00618,Outdoor worker,18-24,21,5.68,0.849,0.412,0.285,0.659,0.003
C00619,Student,Under 18,16,4.41,0.239,0.147,0.218,0.783,0.214
C00620,Outdoor worker,18-24,21,4.3,0.787,0.008,0.725,0.575,0.545
C00621,General pedestrian,45-59,52,5.34,0.483,0.938,0.694,0.552,0.014
C00622,General pedestrian,45-59,52,6.5,0.347,0.468,0.36,0.451,0.004
C00623,Student,18-24,21,5.65,0.077,0.931,0.305,0.49,0.35
C00624,Transit-dependent citizen,18-24,21,5.2,0.168,0.928,0.449,0.832,0.705
C00625,Outdoor worker,25-34,29,7.2,0.732,0.101,0.78,0.97,0.0
C00626,Outdoor worker,Under 18,16,5.65,0.806,0.571,0.639,0.95,0.023
C00627,Transit-dependent citizen,18-24,21,4.63,0.387,0.998,0.409,0.962,0.925
C00628,Student,18-24,21,6.45,0.497,0.02,0.8,0.387,0.067
C00629,Student,Under 18,16,5.44,0.665,0.964,0.451,0.878,0.025
C00630,Mobility-limited citizen,45-59,52,3.46,0.027,0.061,0.128,0.977,0.062
C00631,Student,18-24,21,5.41,0.477,0.84,0.414,0.97,0.143
C00632,General pedestrian,25-34,29,5.28,0.129,0.875,0.502,0.612,0.539
C00633,Outdoor worker,Under 18,16,6.31,0.93,0.446,0.671,0.837,0.116
C00634,Transit-dependent citizen,Under 18,16,5.13,0.906,0.858,0.831,0.923,0.948
C00635,General pedestrian,45-59,52,4.35,0.612,0.074,0.454,0.783,0.016
C00636,Transit-dependent citizen,25-34,29,4.05,0.46,0.954,0.246,0.683,0.909
C00637,Student,18-24,21,5.84,0.585,0.981,0.474,0.957,0.006
C00638,Outdoor worker,18-24,21,4.74,0.745,0.986,0.411,0.931,0.033
C00639,Mobility-limited citizen,Under 18,16,3.06,0.467,0.447,0.376,0.752,0.201
C00640,Student,18-24,21,6.24,0.186,0.379,0.297,0.53,0.017
C00641,Outdoor worker,18-24,21,6.22,0.74,0.007,0.757,0.695,0.054
C00642,General pedestrian,35-44,39,7.2,0.426,0.66,0.711,0.738,0.012
C00643,Outdoor worker,18-24,21,6.56,0.787,0.998,0.23,0.7,0.079
C00644,Outdoor worker,25-34,29,6.72,0.876,0.259,0.565,0.707,0.006
C00645,Student,18-24,21,5.89,0.631,0.992,0.313,0.954,0.21
C00646,Outdoor worker,45-59,52,5.08,0.924,0.054,0.741,0.859,0.297
C00647,Outdoor worker,Under 18,16,4.8,0.73,0.597,0.505,0.985,0.055
C00648,Transit-dependent citizen,Under 18,16,5.13,0.854,0.079,0.702,0.914,0.692
C00649,Outdoor worker,Under 18,16,5.24,0.785,0.962,0.756,0.176,0.121
C00650,Outdoor worker,18-24,21,7.2,0.775,0.575,0.553,0.845,0.494
C00651,Transit-dependent citizen,45-59,52,5.28,0.642,0.472,0.674,0.852,0.989
C00652,Transit-dependent citizen,18-24,21,5.72,0.649,0.916,0.512,0.932,0.866
C00653,Student,18-24,21,5.52,0.115,0.23,0.284,0.992,0.006
C00654,Student,Under 18,16,4.99,0.657,0.533,0.317,0.446,0.005
C00655,Student,18-24,21,3.86,0.349,0.901,0.499,0.938,0.161
C00656,Elderly citizen,60+,66,3.4,0.065,0.65,0.258,0.659,0.003
C00657,Student,18-24,21,7.09,0.369,0.791,0.237,0.21,0.021
C00658,Student,Under 18,16,6.11,0.582,0.858,0.372,0.557,0.174
C00659,Student,18-24,21,5.31,0.589,0.45,0.235,0.889,0.195
C00660,Mobility-limited citizen,45-59,52,2.44,0.111,0.311,0.279,0.992,0.051
C00661,Student,Under 18,16,6.97,0.52,0.999,0.347,0.638,0.19
C00662,Student,18-24,21,4.21,0.446,0.157,0.313,0.636,0.02
C00663,Student,Under 18,16,5.8,0.39,0.918,0.153,0.98,0.016
C00664,Outdoor worker,Under 18,16,6.37,0.79,0.446,0.63,0.864,0.117
C00665,Family / parent,45-59,52,4.54,0.526,0.054,0.515,0.979,0.001
C00666,Transit-dependent citizen,45-59,52,5.17,0.958,0.958,0.378,0.855,0.67
C00667,Student,18-24,21,4.54,0.484,0.94,0.187,0.901,0.488
C00668,Elderly citizen,60+,66,4.98,0.228,0.83,0.678,0.76,0.871
C00669,Student,18-24,21,5.56,0.626,0.602,0.441,0.926,0.208
C00670,Transit-dependent citizen,18-24,21,5.32,0.248,0.978,0.257,0.911,0.602
C00671,Family / parent,45-59,52,4.7,0.561,0.998,0.131,0.953,0.078
C00672,General pedestrian,35-44,39,6.43,0.263,0.074,0.647,0.735,0.056
C00673,General pedestrian,35-44,39,4.92,0.546,0.521,0.436,0.783,0.118
C00674,General pedestrian,45-59,52,4.34,0.214,0.458,0.355,0.733,0.15
C00675,Outdoor worker,18-24,21,7.2,0.883,0.91,0.658,0.267,0.046
C00676,Outdoor worker,Under 18,16,5.76,0.97,0.972,0.517,0.632,0.35
C00677,General pedestrian,45-59,52,4.72,0.483,0.357,0.376,0.734,0.43
C00678,Mobility-limited citizen,Under 18,16,1.8,0.409,0.262,0.117,0.974,0.298
C00679,Student,Under 18,16,5.26,0.353,0.944,0.469,0.678,0.036
C00680,Student,Under 18,16,4.29,0.127,0.039,0.577,0.983,0.448
C00681,Elderly citizen,60+,66,5.53,0.571,0.938,0.237,0.223,0.135
C00682,General pedestrian,25-34,29,5.62,0.312,0.273,0.464,0.552,0.133
C00683,Elderly citizen,60+,66,3.44,0.883,0.032,0.877,0.5,0.799
C00684,Family / parent,25-34,29,5.92,0.575,0.969,0.113,0.961,0.319
C00685,Student,18-24,21,4.12,0.594,0.035,0.682,0.903,0.061
C00686,Mobility-limited citizen,45-59,52,3.27,0.899,0.352,0.645,0.918,0.205
C00687,Student,Under 18,16,5.31,0.495,0.863,0.387,0.578,0.018
