participant_id,age_group,age_mid,walking_frequency,walking_frequency_code,heat_sensitivity,heat_sensitivity_code,public_transport_usage,public_transport_code,walk_pace_per_km,walking_speed_kmh,travel_time_influence,green_space_influence,quality_of_life,priority_improvement,scenario_id,temperature_c,rain_level,crowd_density,shade_percentage,green_space_level,comfort,stress,walking_likelihood,avoidance_likelihood,route_choice,improvement_choice,avoid_factor
P032,Under 18,16,Daily,3,Low,1,1-2 times per week,1,<10 minutes,6.7,4.0,3.0,6.0,"More trees, green spaces, and shaded pedestrian areas",S04,40,Heavy,85,15,Low,,,,2.0,,,I would not avoid the area
P033,35-44,39,Daily,3,Moderate,2,1-2 times per week,1,<10 minutes,6.7,1.0,1.0,3.0,"More trees, green spaces, and shaded pedestrian areas",S01,28,None,20,80,High,2.0,,5.0,,,,
P033,35-44,39,Daily,3,Moderate,2,1-2 times per week,1,<10 minutes,6.7,1.0,1.0,3.0,"More trees, green spaces, and shaded pedestrian areas",S02,35,None,50,50,Medium,1.0,2.0,,,Shaded/less crowded route,,
P033,35-44,39,Daily,3,Moderate,2,1-2 times per week,1,<10 minutes,6.7,1.0,1.0,3.0,"More trees, green spaces, and shaded pedestrian areas",S03,42,None,85,15,Low,1.0,3.0,1.0,,,More shaded pedestrian paths,
P033,35-44,39,Daily,3,Moderate,2,1-2 times per week,1,<10 minutes,6.7,1.0,1.0,3.0,"More trees, green spaces, and shaded pedestrian areas",S04,40,Heavy,85,15,Low,,,,2.0,,,Lack of shelter
P034,35-44,39,1-2 times per week,1,High,3,Never/ Rarely,0,13-15 minutes,4.3,5.0,5.0,8.0,Improved drainage and flood management,S01,28,None,20,80,High,4.0,,3.0,,,,
P034,35-44,39,1-2 times per week,1,High,3,Never/ Rarely,0,13-15 minutes,4.3,5.0,5.0,8.0,Improved drainage and flood management,S02,35,None,50,50,Medium,2.0,4.0,,,Depends on the weather,,
P034,35-44,39,1-2 times per week,1,High,3,Never/ Rarely,0,13-15 minutes,4.3,5.0,5.0,8.0,Improved drainage and flood management,S03,42,None,85,15,Low,1.0,5.0,1.0,,,More shaded pedestrian paths,
P034,35-44,39,1-2 times per week,1,High,3,Never/ Rarely,0,13-15 minutes,4.3,5.0,5.0,8.0,Improved drainage and flood management,S04,40,Heavy,85,15,Low,,,,5.0,,,Heavy rainfall
P035,18-24,21,1-2 times per week,1,Moderate,2,Never/ Rarely,0,10-12 minutes,5.5,4.0,4.0,4.0,Improved drainage and flood management,S01,28,None,20,80,High,5.0,,4.0,,,,
P035,18-24,21,1-2 times per week,1,Moderate,2,Never/ Rarely,0,10-12 minutes,5.5,4.0,4.0,4.0,Improved drainage and flood management,S02,35,None,50,50,Medium,3.0,2.0,,,Depends on the weather,,
P035,18-24,21,1-2 times per week,1,Moderate,2,Never/ Rarely,0,10-12 minutes,5.5,4.0,4.0,4.0,Improved drainage and flood management,S03,42,None,85,15,Low,2.0,4.0,2.0,,,Better crowd management / wider pedestrian spaces,
P035,18-24,21,1-2 times per week,1,Moderate,2,Never/ Rarely,0,10-12 minutes,5.5,4.0,4.0,4.0,Improved drainage and flood management,S04,40,Heavy,85,15,Low,,,,1.0,,,Heavy rainfall
P036,60+,66,3-5 times per week,2,Moderate,2,Never/ Rarely,0,<10 minutes,6.7,3.0,4.0,6.0,Improved drainage and flood management,S01,28,None,20,80,High,4.0,,3.0,,,,
P036,60+,66,3-5 times per week,2,Moderate,2,Never/ Rarely,0,<10 minutes,6.7,3.0,4.0,6.0,Improved drainage and flood management,S02,35,None,50,50,Medium,2.0,3.0,,,Shaded/less crowded route,,
P036,60+,66,3-5 times per week,2,Moderate,2,Never/ Rarely,0,<10 minutes,6.7,3.0,4.0,6.0,Improved drainage and flood management,S03,42,None,85,15,Low,5.0,5.0,1.0,,,More shaded pedestrian paths,
P036,60+,66,3-5 times per week,2,Moderate,2,Never/ Rarely,0,<10 minutes,6.7,3.0,4.0,6.0,Improved drainage and flood management,S04,40,Heavy,85,15,Low,,,,4.0,,,Lack of shelter
P037,Under 18,16,1-2 times per week,1,Moderate,2,1-2 times per week,1,<10 minutes,6.7,3.0,4.0,9.0,Improved drainage and flood management,S01,28,None,20,80,High,5.0,,4.0,,,,
P037,Under 18,16,1-2 times per week,1,Moderate,2,1-2 times per week,1,<10 minutes,6.7,3.0,4.0,9.0,Improved drainage and flood management,S02,35,None,50,50,Medium,4.0,2.0,,,Depends on the weather,,
P037,Under 18,16,1-2 times per week,1,Moderate,2,1-2 times per week,1,<10 minutes,6.7,3.0,4.0,9.0,Improved drainage and flood management,S03,42,None,85,15,Low,2.0,2.0,2.0,,,More trees and green spaces,
P037,Under 18,16,1-2 times per week,1,Moderate,2,1-2 times per week,1,<10 minutes,6.7,3.0,4.0,9.0,Improved drainage and flood management,S04,40,Heavy,85,15,Low,,,,2.0,,,Heavy rainfall
P038,25-34,29,Daily,3,Moderate,2,1-2 times per week,1,<10 minutes,6.7,5.0,5.0,6.0,More sheltered and weather-protected walking paths,S01,28,None,20,80,High,3.0,,3.0,,,,
P038,25-34,29,Daily,3,Moderate,2,1-2 times per week,1,<10 minutes,6.7,5.0,5.0,6.0,More sheltered and weather-protected walking paths,S02,35,None,50,50,Medium,3.0,3.0,,,Either route,,
P038,25-34,29,Daily,3,Moderate,2,1-2 times per week,1,<10 minutes,6.7,5.0,5.0,6.0,More sheltered and weather-protected walking paths,S03,42,None,85,15,Low,3.0,3.0,3.0,,,More trees and green spaces,
P038,25-34,29,Daily,3,Moderate,2,1-2 times per week,1,<10 minutes,6.7,5.0,5.0,6.0,More sheltered and weather-protected walking paths,S04,40,Heavy,85,15,Low,,,,3.0,,,Poor pedestrian infrastructure
P039,60+,66,3-5 times per week,2,Moderate,2,1-2 times per week,1,13-15 minutes,4.3,4.0,3.0,5.0,Improved drainage and flood management,S01,28,None,20,80,High,3.0,,3.0,,,,
P039,60+,66,3-5 times per week,2,Moderate,2,1-2 times per week,1,13-15 minutes,4.3,4.0,3.0,5.0,Improved drainage and flood management,S02,35,None,50,50,Medium,2.0,3.0,,,Shaded/less crowded route,,
P039,60+,66,3-5 times per week,2,Moderate,2,1-2 times per week,1,13-15 minutes,4.3,4.0,3.0,5.0,Improved drainage and flood management,S03,42,None,85,15,Low,4.0,4.0,4.0,,,More trees and green spaces,
P039,60+,66,3-5 times per week,2,Moderate,2,1-2 times per week,1,13-15 minutes,4.3,4.0,3.0,5.0,Improved drainage and flood management,S04,40,Heavy,85,15,Low,,,,3.0,,,Lack of shelter
P040,60+,66,Daily,3,Moderate,2,Never/ Rarely,0,13-15 minutes,4.3,2.0,5.0,10.0,"More trees, green spaces, and shaded pedestrian areas",S01,28,None,20,80,High,3.0,,4.0,,,,
P040,60+,66,Daily,3,Moderate,2,Never/ Rarely,0,13-15 minutes,4.3,2.0,5.0,10.0,"More trees, green spaces, and shaded pedestrian areas",S02,35,None,50,50,Medium,3.0,3.0,,,,,
P040,60+,66,Daily,3,Moderate,2,Never/ Rarely,0,13-15 minutes,4.3,2.0,5.0,10.0,"More trees, green spaces, and shaded pedestrian areas",S03,42,None,85,15,Low,3.0,3.0,3.0,,,Better pedestrian infrastructure,
P040,60+,66,Daily,3,Moderate,2,Never/ Rarely,0,13-15 minutes,4.3,2.0,5.0,10.0,"More trees, green spaces, and shaded pedestrian areas",S04,40,Heavy,85,15,Low,,,,5.0,,,Poor pedestrian infrastructure
P041,18-24,21,1-2 times per week,1,Moderate,2,Never/ Rarely,0,<10 minutes,6.7,3.0,4.0,8.0,Better public transportation,S01,28,None,20,80,High,2.0,,2.0,,,,
P041,18-24,21,1-2 times per week,1,Moderate,2,Never/ Rarely,0,<10 minutes,6.7,3.0,4.0,8.0,Better public transportation,S02,35,None,50,50,Medium,1.0,5.0,,,Shaded/less crowded route,,
P041,18-24,21,1-2 times per week,1,Moderate,2,Never/ Rarely,0,<10 minutes,6.7,3.0,4.0,8.0,Better public transportation,S03,42,None,85,15,Low,1.0,5.0,1.0,,,Better public transportation,
P041,18-24,21,1-2 times per week,1,Moderate,2,Never/ Rarely,0,<10 minutes,6.7,3.0,4.0,8.0,Better public transportation,S04,40,Heavy,85,15,Low,,,,1.0,,,Heavy rainfall
